Species,species_code,Sex,OD1,OD2,Final_OD,Positivity,CCHF,cchf,age,park,family
giraffe,0,female,0.078,0.076,0.077,6.790123457,0,Negative,sub_adult,buffalo_sprint_reserve,Non-bovidae
giraffe,0,male,1.203,1.235,1.219,124.6421268,1,Positive,sub_adult,samburu_reserve,Non-bovidae
zebra,0,female,0.088,0.096,0.092,9.406952965,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
giraffe,0,male,0.1,0.097,0.0985,10.07157464,0,Negative,adult,samburu_reserve,Non-bovidae
zebra,0,male,0.054,0.068,0.061,5.379188713,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,male,1.153,1.159,1.156,101.9400353,1,Positive,adult,buffalo_sprint_reserve,Non-bovidae
zebra,0,male,0.068,0.071,0.0695,6.128747795,0,Negative,adult,buffalo_sprint_reserve,Non-bovidae
giraffe,0,male,1.45,1.677,1.5635,137.8747795,1,Positive,adult,buffalo_sprint_reserve,Non-bovidae
buffalo,1,female,0.051,0.056,0.0535,4.717813051,0,Negative,adult,buffalo_sprint_reserve,Bovidae
buffalo,1,female,1.767,1.776,1.7715,228.4332689,1,Positive,adult,shaba_reserve,Bovidae
buffalo,1,male,2.029,2.151,2.09,184.303351,1,Positive,adult,shaba_reserve,Bovidae
buffalo,1,male,2.072,2.122,2.097,184.9206349,1,Positive,adult,shaba_reserve,Bovidae
buffalo,1,male,0.094,0.098,0.096,8.465608466,0,Negative,adult,shaba_reserve,Bovidae
impala,1,male,0.097,0.09,0.0935,12.05673759,0,Negative,adult,samburu_reserve,Bovidae
waterbuck,1,female,0.056,0.05,0.053,6.834300451,0,Negative,adult,NA,Bovidae
oryx,1,male,0.073,0.079,0.076,9.800128949,0,Negative,adult,buffalo_sprint_reserve,Bovidae
waterbuck,1,male,0.056,0.051,0.0535,6.898774984,0,Negative,adult,shaba_reserve,Bovidae
oryx,1,male,0.077,0.06,0.0685,8.833010961,0,Negative,adult,buffalo_sprint_reserve,Bovidae
oryx,1,female,0.082,0.105,0.0935,12.05673759,0,Negative,adult,shaba_reserve,Bovidae
waterbuck,1,female,0.466,0.453,0.4595,59.25209542,1,Positive,adult,buffalo_sprint_reserve,Bovidae
oryx,1,male,0.132,0.123,0.1275,16.4410058,0,Negative,adult,buffalo_sprint_reserve,Bovidae
oryx,1,male,0.098,0.084,0.091,11.73436493,0,Negative,adult,buffalo_sprint_reserve,Bovidae
waterbuck,1,female,0.06,0.057,0.0585,7.543520309,0,Negative,adult,buffalo_sprint_reserve,Bovidae
waterbuck,1,male,0.057,0.053,0.055,7.092198582,0,Negative,adult,buffalo_sprint_reserve,Bovidae
oryx,1,male,0.069,0.07,0.0695,8.961960026,0,Negative,adult,buffalo_sprint_reserve,Bovidae
impala,1,female,0.107,0.12,0.1135,14.63571889,0,Negative,adult,samburu_reserve,Bovidae
impala,1,male,0.076,0.082,0.079,10.18697614,0,Negative,adult,samburu_reserve,Bovidae
warthog,0,female,0.051,0.054,0.0525,6.769825919,0,Negative,adult,bisinadi_reserve,Non-bovidae
warthog,0,male,0.133,0.12,0.1265,16.31205674,0,Negative,adult,bisinadi_reserve,Non-bovidae
