,species,spp_code,sex,sex_code,ward,county,OD1,OD2,finalod,positivity,result,cchf,age,age_code,id3,id4,herd,ele,slop,mrain,ndvi,lulc,arid,dem,lc,bio1,bio3,bio12,tempmin,tempmax,tempav,hummin,hummax,humav,vphmin,vphmax,vphav
1400,goats,3,male,0,Garbatulla,Isiolo,0.054,0.041,0.0475,5.32809871,Negative,0,calves,0,212,212,212,296,0.127694994,7.509180069,0.522864759,shrub,1554,296,40,1.268840809,2.446320598,-0.318906841,26.41542624,31.48799275,29.34797911,33.60267841,68.37364191,46.74072535,11.04691259,29.32431558,21.84957834
1401,goats,3,male,0,Garbatulla,Isiolo,0.061,0.049,0.055,6.169377454,Negative,0,calves,0,212,212,212,296,0.127694994,7.509180069,0.522864759,shrub,1554,296,40,1.268840809,2.446320598,-0.318906841,26.41542624,31.48799275,29.34797911,33.60267841,68.37364191,46.74072535,11.04691259,29.32431558,21.84957834
1402,goats,3,female,1,Garbatulla,Isiolo,0.056,0.054,0.055,7.840342124,Negative,0,adults,1,210,210,210,297,0.100951999,19.88920021,0.820392489,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
1403,sheep,1,female,1,Garbatulla,Isiolo,0.052,0.052,0.052,5.832865956,Negative,0,adults,1,210,210,210,297,0.100951999,19.88920021,0.820392489,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
1404,sheep,1,female,1,Garbatulla,Isiolo,0.06,0.066,0.063,7.066741447,Negative,0,young_adults,2,210,210,210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1405,sheep,1,male,0,Garbatulla,Isiolo,0.061,0.062,0.0615,6.898485698,Negative,0,adults,1,210,210,210,297,0.100951999,19.88920021,0.820392489,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
1406,sheep,1,female,1,Garbatulla,Isiolo,0.058,0.057,0.0575,6.169527897,Negative,0,adults,1,210,210,210,297,0.100951999,19.88920021,0.820392489,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
1407,sheep,1,female,1,Garbatulla,Isiolo,0.081,0.084,0.0825,8.85193133,Negative,0,adults,1,210,210,210,297,0.100951999,19.88920021,0.820392489,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
1408,goats,3,female,1,Garbatulla,Isiolo,0.046,0.048,0.047,6.699928724,Negative,0,adults,1,209,209,209,297,0.100951999,19.88920021,0.854237258,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
1409,goats,3,male,0,Garbatulla,Isiolo,0.056,0.047,0.0515,7.341411262,Negative,0,adults,1,209,209,209,297,0.100951999,19.88920021,0.854237258,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
1410,goats,3,male,0,Garbatulla,Isiolo,0.047,0.048,0.0475,6.771204562,Negative,0,calves,0,209,209,209,297,0.100951999,19.88920021,0.854237258,tree cover,1371,297,40,1.251947238,2.376190842,-0.351607145,26.47215849,31.47895828,29.35463275,33.4044557,68.43735701,46.58465373,11.00974432,29.41033481,21.92101336
